Name,Product_Id__c,Location_Id__c,Forecast_Date__c,Forecast_Qty__c,Revenue_Amount__c,Customer_Id__c,Channel__c,Category__c,Sub_Category__c,Region__c,Country__c,Currency_Code__c,UOM__c,Period_Type__c,Fiscal_Period__c
FC-M-00-000001,HPE-PROD-0328,LOC-029,2025-04-01,3415.83,1542181.68,CUST-19144,DIRECT,STORAGE,NIMBLE,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000002,HPE-PROD-0112,LOC-060,2025-04-01,2987.4,1237511.65,CUST-24446,DISTRIBUTOR,HARDWARE,CRAY_EX,NORTH_AMERICA,US,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000003,HPE-PROD-0080,LOC-056,2025-04-01,4252.72,1368001.0,CUST-16338,PARTNER,SERVER,APOLLO,APJ,IN,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000004,HPE-PROD-0499,LOC-097,2025-04-01,3552.4,250873.94,CUST-47837,ONLINE,AI,AI_FACTORY,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000005,HPE-PROD-0120,LOC-026,2025-04-01,1840.83,647196.85,CUST-20659,PARTNER,NETWORKING,FLEXFABRIC,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000006,HPE-PROD-0326,LOC-044,2025-04-01,1176.11,230431.98,CUST-27691,VAR,NETWORKING,FLEXFABRIC,EMEA,FR,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000007,HPE-PROD-0413,LOC-081,2025-04-01,1141.87,313619.24,CUST-47170,PARTNER,SERVER,PROLIANT,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000008,HPE-PROD-0072,LOC-064,2025-04-01,4986.9,559775.96,CUST-33723,ONLINE,PRIVATE_CLOUD,GREENLAKE,APJ,AU,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000009,HPE-PROD-0079,LOC-161,2025-04-01,3019.85,787040.7,CUST-35216,DISTRIBUTOR,PRIVATE_CLOUD,GREENLAKE,EMEA,NL,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000010,HPE-PROD-0349,LOC-185,2025-04-01,2230.35,566900.7,CUST-17310,PARTNER,AI,AI_FACTORY,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000011,HPE-PROD-0257,LOC-196,2025-04-01,3083.95,366304.4,CUST-51874,VAR,AI,AI_FACTORY,EMEA,DE,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000012,HPE-PROD-0272,LOC-001,2025-04-01,1273.32,201683.98,CUST-33788,PARTNER,SERVER,PROLIANT,APJ,AU,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000013,HPE-PROD-0418,LOC-018,2025-04-01,1398.78,619092.85,CUST-46031,ONLINE,SUPERCOMPUTING,CRAY_EX,EMEA,FR,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000014,HPE-PROD-0374,LOC-177,2025-04-01,2312.28,373566.24,CUST-38711,VAR,NETWORKING,FLEXFABRIC,EMEA,UK,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000015,HPE-PROD-0302,LOC-057,2025-04-01,4536.56,1981732.41,CUST-25003,DIRECT,SUPERCOMPUTING,CRAY_XD,NORTH_AMERICA,US,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000016,HPE-PROD-0110,LOC-139,2025-04-01,562.2,194826.05,CUST-36677,ONLINE,STORAGE,PRIMERA,EMEA,NL,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000017,HPE-PROD-0028,LOC-173,2025-04-01,1038.79,302629.23,CUST-17161,ONLINE,NETWORKING,FLEXFABRIC,NORTH_AMERICA,US,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000018,HPE-PROD-0448,LOC-020,2025-04-01,914.92,245691.25,CUST-16112,ONLINE,SERVER,PROLIANT,LATAM,BR,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000019,HPE-PROD-0195,LOC-001,2025-04-01,3513.3,1330582.95,CUST-28694,DISTRIBUTOR,AI,AI_FACTORY,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000020,HPE-PROD-0098,LOC-076,2025-04-01,380.11,118928.79,CUST-59019,PARTNER,PRIVATE_CLOUD,GREENLAKE,EMEA,DE,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000021,HPE-PROD-0492,LOC-131,2025-04-01,2078.5,984623.4,CUST-54250,ONLINE,SERVER,PROLIANT,NORTH_AMERICA,US,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000022,HPE-PROD-0042,LOC-108,2025-04-01,2039.35,718382.66,CUST-25642,PARTNER,STORAGE,PRIMERA,APJ,JP,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000023,HPE-PROD-0038,LOC-003,2025-04-01,749.04,155091.71,CUST-43153,PARTNER,SERVER,PROLIANT,LATAM,BR,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000024,HPE-PROD-0225,LOC-140,2025-04-01,4700.76,519109.63,CUST-53475,DIRECT,SUPERCOMPUTING,CRAY_EX,APJ,IN,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000025,HPE-PROD-0140,LOC-073,2025-04-01,1330.49,610257.94,CUST-43122,DISTRIBUTOR,STORAGE,PRIMERA,EMEA,UK,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000026,HPE-PROD-0023,LOC-001,2025-04-01,2803.23,679668.66,CUST-20589,DISTRIBUTOR,HARDWARE,CRAY_EX,APJ,SG,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000027,HPE-PROD-0077,LOC-140,2025-04-01,304.96,65289.86,CUST-38166,ONLINE,PRIVATE_CLOUD,GREENLAKE,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000028,HPE-PROD-0184,LOC-054,2025-04-01,4636.24,725718.99,CUST-50675,ONLINE,COMPUTE,BLADESYSTEM,EMEA,DE,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000029,HPE-PROD-0212,LOC-007,2025-04-01,1407.35,569017.68,CUST-53903,ONLINE,AI,AI_FACTORY,EMEA,UK,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000030,HPE-PROD-0114,LOC-052,2025-04-01,3334.16,764555.2,CUST-24609,DIRECT,COMPUTE,SYNERGY,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000031,HPE-PROD-0180,LOC-165,2025-04-01,2944.89,1450646.21,CUST-27118,ONLINE,SERVER,PROLIANT,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000032,HPE-PROD-0403,LOC-081,2025-04-01,3573.05,181371.86,CUST-26693,DIRECT,NETWORKING,ARUBA,LATAM,BR,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000033,HPE-PROD-0380,LOC-189,2025-04-01,3153.46,1099057.64,CUST-53531,PARTNER,NETWORKING,ARUBA,EMEA,UK,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000034,HPE-PROD-0342,LOC-105,2025-04-01,1040.02,363193.96,CUST-46333,ONLINE,SUPERCOMPUTING,CRAY_EX,APJ,AU,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000035,HPE-PROD-0292,LOC-078,2025-04-01,3950.22,1275912.0,CUST-23774,DISTRIBUTOR,COMPUTE,BLADESYSTEM,LATAM,BR,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000036,HPE-PROD-0262,LOC-122,2025-04-01,3396.7,513201.63,CUST-16120,ONLINE,COMPUTE,BLADESYSTEM,EMEA,DE,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000037,HPE-PROD-0244,LOC-157,2025-04-01,2522.45,403069.85,CUST-57077,DISTRIBUTOR,NETWORKING,ARUBA,NORTH_AMERICA,CA,XYZ,UNIT,MONTHLY,2025-M04
FC-M-00-000038,HPE-PROD-0113,LOC-046,2025-04-01,753.36,195187.63,CUST-17953,DISTRIBUTOR,PRIVATE_CLOUD,GREENLAKE,LATAM,BR,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000039,HPE-PROD-0387,LOC-114,2025-04-01,3783.71,1619194.42,CUST-39495,PARTNER,STORAGE,PRIMERA,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000040,HPE-PROD-0123,LOC-071,2025-04-01,1745.65,788793.03,CUST-25367,PARTNER,SUPERCOMPUTING,CRAY_EX,LATAM,BR,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000041,HPE-PROD-0079,LOC-181,2025-04-01,2383.03,185922.98,CUST-31684,VAR,NETWORKING,FLEXFABRIC,EMEA,DE,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000042,HPE-PROD-0485,LOC-179,2025-04-01,3792.03,1645936.6,CUST-33052,PARTNER,NETWORKING,ARUBA,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000043,HPE-PROD-0280,LOC-155,2025-04-01,242.22,48748.78,CUST-38562,DISTRIBUTOR,STORAGE,PRIMERA,EMEA,NL,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000044,HPE-PROD-0240,LOC-033,2025-04-01,764.93,197171.65,CUST-15501,DISTRIBUTOR,PRIVATE_CLOUD,GREENLAKE,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000045,HPE-PROD-0168,LOC-087,2025-04-01,2404.5,930687.98,CUST-26532,DIRECT,AI,AI_FACTORY,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000046,HPE-PROD-0036,LOC-200,2025-04-01,846.67,90423.88,CUST-11335,VAR,STORAGE,NIMBLE,NORTH_AMERICA,US,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000047,HPE-PROD-0359,LOC-066,2025-04-01,629.68,38760.14,CUST-20732,PARTNER,PRIVATE_CLOUD,GREENLAKE,APJ,SG,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000048,HPE-PROD-0204,LOC-184,2025-04-01,4266.44,1366051.06,CUST-16678,PARTNER,PRIVATE_CLOUD,GREENLAKE,EMEA,DE,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000049,HPE-PROD-0178,LOC-137,2025-04-01,4129.42,402587.45,CUST-10829,DISTRIBUTOR,SERVER,APOLLO,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000050,HPE-PROD-0363,LOC-040,2025-04-01,3895.74,1009749.31,CUST-50364,VAR,SUPERCOMPUTING,CRAY_EX,LATAM,BR,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000051,HPE-PROD-0126,LOC-023,2025-04-01,3374.12,679475.15,CUST-47345,VAR,STORAGE,PRIMERA,APJ,AU,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000052,HPE-PROD-0182,LOC-067,2025-04-01,2631.47,357815.16,CUST-46424,DIRECT,PRIVATE_CLOUD,GREENLAKE,APJ,JP,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000053,HPE-PROD-0124,LOC-177,2025-04-01,1185.82,428441.77,CUST-16098,PARTNER,NETWORKING,ARUBA,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000054,HPE-PROD-0272,LOC-089,2025-04-01,1331.88,138908.62,CUST-27754,PARTNER,COMPUTE,BLADESYSTEM,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000055,HPE-PROD-0391,LOC-177,2025-04-01,4885.37,1397638.85,CUST-28120,VAR,STORAGE,PRIMERA,EMEA,FR,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000056,HPE-PROD-0117,LOC-093,2025-04-01,4874.05,1457397.17,CUST-27977,DIRECT,SERVER,PROLIANT,EMEA,UK,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000057,HPE-PROD-0252,LOC-027,2025-04-01,1003.38,73366.67,CUST-38866,PARTNER,NETWORKING,FLEXFABRIC,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000058,HPE-PROD-0206,LOC-126,2025-04-01,517.39,83654.68,CUST-46886,PARTNER,STORAGE,NIMBLE,NORTH_AMERICA,US,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000059,HPE-PROD-0317,LOC-058,2025-04-01,1596.36,525940.43,CUST-48569,DISTRIBUTOR,NETWORKING,FLEXFABRIC,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000060,HPE-PROD-0107,LOC-161,2025-04-01,951.69,79731.82,CUST-20292,ONLINE,UNKNOWN,CRAY_XD,EMEA,UK,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000061,HPE-PROD-0017,LOC-060,2025-04-01,4627.16,1871790.85,CUST-14664,ONLINE,SUPERCOMPUTING,CRAY_EX,APJ,JP,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000062,HPE-PROD-0218,LOC-030,2025-04-01,913.02,172036.08,CUST-14679,DIRECT,COMPUTE,SYNERGY,EMEA,FR,EUR,UNIT,MONTHLY,2025-M04
FC-M-00-000063,HPE-PROD-0064,LOC-120,2025-04-01,3030.38,1364399.2,CUST-38688,DIRECT,COMPUTE,BLADESYSTEM,APJ,AU,SGD,UNIT,MONTHLY,2025-M04
FC-M-00-000064,HPE-PROD-0118,LOC-173,2025-04-01,2405.45,825500.58,CUST-59562,ONLINE,PRIVATE_CLOUD,GREENLAKE,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000065,HPE-PROD-0326,LOC-126,2025-04-01,3383.65,1475203.36,CUST-31843,PARTNER,COMPUTE,BLADESYSTEM,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000066,,LOC-103,2025-04-01,668.02,265635.86,CUST-26541,PARTNER,SERVER,APOLLO,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M04
FC-M-00-000067,HPE-PROD-0446,LOC-139,2025-04-01,3150.91,864363.61,CUST-43976,PARTNER,SERVER,PROLIANT,LATAM,MX,BRL,UNIT,MONTHLY,2025-M04
FC-M-00-000068,HPE-PROD-0068,LOC-074,2025-04-01,4016.64,1483755.94,CUST-51289,VAR,SERVER,PROLIANT,LATAM,MX,ZZZ,UNIT,MONTHLY,2025-M04
