Name,Product_Id__c,Location_Id__c,Forecast_Date__c,Forecast_Qty__c,Revenue_Amount__c,Customer_Id__c,Channel__c,Category__c,Sub_Category__c,Region__c,Country__c,Currency_Code__c,UOM__c,Period_Type__c,Fiscal_Period__c
FC-M-000001,HPE-PROD-1409,LOC-859,2025-12-01,1382.4,112382.16,CUST-23434,DIRECT,SUPERCOMPUTING,CRAY_XD,NORTH_AMERICA,CA,USD,UNIT,MONTHLY,2025-M12
FC-M-000002,HPE-PROD-4582,LOC-338,2026-01-01,2531.72,14241.45,CUST-36062,ONLINE,SERVER,PROLIANT,NORTH_AMERICA,CA,INR,UNIT,MONTHLY,2026-M01
FC-M-000003,HPE-PROD-3615,LOC-814,2026-02-01,2118.85,139657.8,CUST-38221,DISTRIBUTOR,COMPUTE,BLADESYSTEM,NORTH_AMERICA,US,JPY,UNIT,MONTHLY,2026-M02
FC-M-000004,HPE-PROD-6635,LOC-718,2026-03-01,1329.96,22681.77,CUST-70217,DIRECT,SERVER,APOLLO,ASIA_PACIFIC,IN,INR,UNIT,MONTHLY,2026-M03
FC-M-000005,HPE-PROD-6925,LOC-691,2026-04-01,969.52,35708.02,CUST-96673,PARTNER,COMPUTE,EDGELINE,MIDDLE_EAST,AE,EUR,UNIT,MONTHLY,2026-M04
FC-M-000006,HPE-PROD-7227,LOC-384,2026-05-01,2272.52,417221.1,CUST-31319,DISTRIBUTOR,AI,DEEP_LEARNING,NORTH_AMERICA,US,GBP,UNIT,MONTHLY,2026-M05
FC-M-000007,HPE-PROD-3803,LOC-646,2026-06-01,3648.34,82537.84,CUST-59735,DISTRIBUTOR,SUPERCOMPUTING,CRAY_XD,NORTH_AMERICA,MX,INR,UNIT,MONTHLY,2026-M06
FC-M-000008,HPE-PROD-1916,LOC-334,2026-07-01,4110.79,402717.85,CUST-62581,DISTRIBUTOR,STORAGE,NIMBLE,ASIA_PACIFIC,JP,INR,UNIT,MONTHLY,2026-M07
FC-M-000009,HPE-PROD-4483,LOC-771,2026-08-01,2501.16,442456.89,CUST-94259,ONLINE,SUPERCOMPUTING,CRAY_EX,ASIA_PACIFIC,SG,EUR,UNIT,MONTHLY,2026-M08
FC-M-000010,HPE-PROD-9830,LOC-369,2026-09-01,3737.6,214788.48,CUST-86484,ONLINE,STORAGE,3PAR,MIDDLE_EAST,AE,EUR,UNIT,MONTHLY,2026-M09
