Name,Product_Id__c,Location_Id__c,Forecast_Date__c,Forecast_Qty__c,Revenue_Amount__c,Customer_Id__c,Channel__c,Category__c,Sub_Category__c,Region__c,Country__c,Currency_Code__c,UOM__c,Period_Type__c,Fiscal_Period__c
FC-Q-000001,HPE-PROD-6367,LOC-310,2025-04-01,3019.65,271186.75,CUST-84255,DISTRIBUTOR,PRIVATE_CLOUD,ONEVIEW,LATIN_AMERICA,AR,JPY,UNIT,QUARTERLY,2025-Q2
FC-Q-000002,HPE-PROD-5381,LOC-194,2025-07-01,1691.79,192658.26,CUST-39268,DIRECT,PRIVATE_CLOUD,COMPOSABLE,NORTH_AMERICA,CA,INR,UNIT,QUARTERLY,2025-Q3
FC-Q-000003,HPE-PROD-6592,LOC-608,2025-10-01,3856.02,291651.85,CUST-63304,PARTNER,SERVER,SYNERGY,EUROPE,FR,GBP,UNIT,QUARTERLY,2025-Q4
FC-Q-000004,HPE-PROD-4903,LOC-974,2026-01-01,2882.65,443122.29,CUST-27456,DISTRIBUTOR,PRIVATE_CLOUD,GREENLAKE,NORTH_AMERICA,MX,INR,UNIT,QUARTERLY,2026-Q1
FC-Q-000005,HPE-PROD-9052,LOC-527,2026-04-01,1614.17,492969.92,CUST-25540,DISTRIBUTOR,NETWORKING,ARUBA,EUROPE,FR,USD,UNIT,QUARTERLY,2026-Q2
FC-Q-000006,HPE-PROD-9162,LOC-771,2026-07-01,3788.44,94896.69,CUST-92727,DIRECT,AI,DEEP_LEARNING,NORTH_AMERICA,MX,GBP,UNIT,QUARTERLY,2026-Q3
FC-Q-000007,HPE-PROD-8874,LOC-600,2026-10-01,2026.55,214569.33,CUST-41410,DIRECT,STORAGE,3PAR,LATIN_AMERICA,BR,USD,UNIT,QUARTERLY,2026-Q4
FC-Q-000008,HPE-PROD-5143,LOC-828,2027-01-01,4280.29,17779.09,CUST-62203,PARTNER,COMPUTE,SIMPLIVITY,EUROPE,NL,GBP,UNIT,QUARTERLY,2027-Q1
FC-Q-000009,HPE-PROD-3925,LOC-305,2025-04-01,437.64,496608.23,CUST-60419,DIRECT,NETWORKING,COMWARE,MIDDLE_EAST,IL,USD,UNIT,QUARTERLY,2025-Q2
FC-Q-000010,HPE-PROD-9492,LOC-626,2025-07-01,653.36,437140.32,CUST-80916,DIRECT,COMPUTE,EDGELINE,LATIN_AMERICA,AR,GBP,UNIT,QUARTERLY,2025-Q3
FC-Q-000011,HPE-PROD-5840,LOC-963,2025-10-01,999.01,335041.9,CUST-90317,DISTRIBUTOR,STORAGE,3PAR,LATIN_AMERICA,CL,USD,UNIT,QUARTERLY,2025-Q4
FC-Q-000012,HPE-PROD-2206,LOC-489,2026-01-01,439.74,51745.33,CUST-48137,ONLINE,COMPUTE,SIMPLIVITY,NORTH_AMERICA,US,INR,UNIT,QUARTERLY,2026-Q1
