Name,Product_Id__c,Location_Id__c,Forecast_Date__c,Forecast_Qty__c,Revenue_Amount__c,Customer_Id__c,Channel__c,Category__c,Sub_Category__c,Region__c,Country__c,Currency_Code__c,UOM__c,Period_Type__c,Fiscal_Period__c
FC-Q-00-000001,HPE-PROD-0237,LOC-025,2025-04-01,3335.35,950049.49,CUST-15614,DIRECT,STORAGE,NIMBLE,NORTH_AMERICA,US,USD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000002,HPE-PROD-0208,LOC-012,2025-04-01,2992.03,636929.23,CUST-11056,DISTRIBUTOR,SERVER,APOLLO,LATAM,MX,BRL,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000003,HPE-PROD-0391,LOC-074,2025-04-01,4374.9,397730.38,CUST-19572,DIRECT,COMPUTE,SYNERGY,LATAM,BR,BRL,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000004,HPE-PROD-0126,LOC-127,2025-04-01,4180.21,934857.9,CUST-33636,PARTNER,SUPERCOMPUTING,CRAY_EX,NORTH_AMERICA,US,USD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000005,HPE-PROD-0387,LOC-187,2025-04-01,4952.13,562399.6,CUST-25078,PARTNER,SERVER,APOLLO,NORTH_AMERICA,CA,USD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000006,HPE-PROD-0307,LOC-132,2025-04-01,921.12,303505.43,CUST-43029,DIRECT,PRIVATE_CLOUD,GREENLAKE,EMEA,DE,EUR,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000007,HPE-PROD-0272,LOC-031,2025-04-01,457.02,69139.88,CUST-46825,PARTNER,NETWORKING,FLEXFABRIC,EMEA,DE,EUR,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000008,HPE-PROD-0055,LOC-130,2025-04-01,2937.03,275739.75,CUST-46846,PARTNER,NETWORKING,ARUBA,APJ,SG,SGD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000009,HPE-PROD-0034,LOC-096,2025-04-01,2753.42,1144979.91,CUST-22272,DIRECT,NETWORKING,ARUBA,NORTH_AMERICA,CA,USD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000010,HPE-PROD-0160,LOC-096,2025-04-01,3857.87,652821.64,CUST-39929,DISTRIBUTOR,NETWORKING,FLEXFABRIC,NORTH_AMERICA,US,USD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000011,HPE-PROD-0216,LOC-138,2025-04-01,2933.81,1095154.84,CUST-51539,DISTRIBUTOR,AI,AI_FACTORY,APJ,SG,SGD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000012,HPE-PROD-0240,LOC-072,2025-04-01,840.6,389728.33,CUST-39060,VAR,COMPUTE,BLADESYSTEM,LATAM,BR,BRL,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000013,HPE-PROD-0440,LOC-187,2025-04-01,3935.72,1412953.45,CUST-34232,ONLINE,NETWORKING,ARUBA,APJ,JP,SGD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000014,HPE-PROD-0116,LOC-193,2025-04-01,405.11,85427.26,CUST-39225,ONLINE,COMPUTE,SYNERGY,APJ,JP,SGD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000015,HPE-PROD-0103,LOC-192,2025-04-01,3965.2,1179597.01,CUST-20671,PARTNER,SUPERCOMPUTING,CRAY_EX,LATAM,BR,BRL,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000016,HPE-PROD-0013,LOC-155,2025-04-01,2301.45,1074453.31,CUST-45521,PARTNER,SUPERCOMPUTING,CRAY_XD,EMEA,NL,EUR,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000017,HPE-PROD-0252,LOC-029,2025-04-01,2437.86,872330.27,CUST-10800,DIRECT,STORAGE,NIMBLE,EMEA,NL,EUR,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000018,HPE-PROD-0141,LOC-002,2025-04-01,3007.94,553019.39,CUST-15126,VAR,STORAGE,NIMBLE,NORTH_AMERICA,CA,USD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000019,HPE-PROD-0438,LOC-091,2025-04-01,2046.55,189508.9,CUST-14569,DIRECT,STORAGE,NIMBLE,APJ,IN,SGD,UNIT,QUARTERLY,2025-Q2
FC-Q-00-000020,HPE-PROD-0201,LOC-046,2025-04-01,1232.56,173449.49,CUST-24833,PARTNER,NETWORKING,ARUBA,APJ,IN,SGD,UNIT,QUARTERLY,2025-Q2
